transmission,stifle,mean_reach,std_reach,mean_steps
10,10,605.44,198.24910188951677,575.966
10,25,58.71,22.07998867753333,108.33
10,50,26.836,8.181998777804846,52.81
10,75,20.36,4.971760251661378,41.57
10,100,17.664,4.256184206539937,36.87
25,10,1514.308,15.542880556705054,195.888
25,25,609.552,198.69019929528483,221.31
25,50,85.604,36.7632314140093,53.484
25,75,44.546,15.766416333460182,31.5
25,100,32.984,10.27325381755946,23.49
50,10,1589.8,3.6975667674837194,114.662
50,25,1448.908,26.248419685763942,95.744
50,50,595.262,201.81173740890296,99.01
50,75,170.334,77.715085047885,42.568
50,100,85.422,35.03049979660582,24.712
75,10,1597.996,1.592477315380034,99.504
75,25,1548.6,10.083650132764426,60.118
75,50,1283.436,70.1855961291204,69.348
75,75,628.038,196.75126570367976,62.188
75,100,236.718,106.00874716739182,33.198
100,10,1599.504,0.7389073013578903,90.43
100,25,1578.72,5.81357033156046,47.802
100,50,1449.326,24.181722932826773,42.74
100,75,1164.494,108.05057132657836,50.434
100,100,641.228,212.65433928326033,43.99
