stifle_chance,transmission_chance,mean_reach,std_reach,sem,ci_95_lower,ci_95_upper,median_reach,min_reach,max_reach,mean_steps,std_steps,reach_fraction,iterations
0,100.0,1600.0,0.0,0.0,1600.0,1600.0,1600.0,1600,1600,5000.0,0.0,1.0,10000
10,100.0,1599.4388,0.7705283456130211,0.007705283456130211,1599.4236976444258,1599.453902355574,1600.0,1595,1600,91.3744,12.449253914685137,0.99964925,10000
20,100.0,1589.9344,3.6277834446493813,0.036277834446493816,1589.863295444485,1590.0055045555152,1590.0,1574,1599,54.1084,5.913877478835985,0.9937090000000001,10000
30,100.0,1562.4293,8.148131117874295,0.08148131117874295,1562.2695966300896,1562.5890033699104,1563.0,1523,1588,44.2402,4.464784136970003,0.9765183125000001,10000
40,100.0,1516.0493,14.485601567600757,0.14485601567600756,1515.765382209275,1516.3332177907248,1517.0,1444,1559,41.825,4.6896880831705365,0.9475308124999999,10000
50,100.0,1450.6055,24.538379794890613,0.24538379794890613,1450.12454775602,1451.0864522439797,1453.0,1266,1517,42.6912,5.790405464174676,0.9066284374999999,10000
60,100.0,1363.5088,41.98364664031129,0.4198364664031129,1362.68592052585,1364.3316794741502,1369.0,1060,1467,45.4918,7.699133745171765,0.852193,10000
70,100.0,1243.2999,79.04344341300333,0.7904344341300333,1241.750648509105,1244.8491514908949,1258.0,521,1403,49.3471,10.14453117405009,0.7770624375,10000
80,100.0,1069.8224,145.28204274938642,1.4528204274938643,1066.974871962112,1072.669928037888,1102.0,29,1332,51.9837,12.681502922037126,0.668639,10000
90,100.0,848.2294,199.1864385428133,1.991864385428133,844.3253458045609,852.1334541954392,882.5,70,1260,49.5856,13.97275908472067,0.530143375,10000
100,100.0,627.4339,206.20654437889326,2.0620654437889328,623.3922517301737,631.4755482698263,643.0,30,1175,42.8175,14.164231581544746,0.3921461875,10000
